source,target,value
Albanian,Albanian,2
Albanian,American,3
Albanian,German,1
Algerian,Belgian,1
Algerian,Dutch,1
Algerian,French,12
Algerian,Lebanese,10
Algerian,Swiss,1
American,Albanian,3
American,American,22958
American,Argentine,836
American,Australian,26
American,Austrian,95
American,Belgian,70
American,Brazilian,48
American,British,606
American,Canadian,166
American,Chilean,12
American,Chinese,16
American,Colombian,12
American,Croatian,10
American,Cuban,22
American,Czech,56
American,Danish,148
American,Dutch,307
American,Finnish,1
American,French,1177
American,Georgian,1
American,German,714
American,Ghanaian,2
American,Greek,63
American,Hungarian,408
American,Icelandic,33
American,Indian,9
American,Iranian,6
American,Irish,14
American,Israeli,6
American,Italian,214
American,Japanese,510
American,Kenyan,8
American,Korean,6
American,Lebanese,5
American,Lithuanian,3
American,Mexican,98
American,Moroccan,1
American,New Zealander,3
American,Norwegian,1
American,Paraguayan,2
American,Polish,16
American,Romanian,21
American,Russian,48
American,Salvadoran,1
American,Scottish,2
American,Serbian,6
American,Slovak,70
American,South African,149
American,Spanish,101
American,Swedish,72
American,Swiss,306
American,Taiwanese,60
American,Thai,14
American,Ukrainian,2
American,Uruguayan,6
American,Venezuelan,84
American,Vietnamese,8
American,Welsh,9
Argentine,American,836
Argentine,Argentine,4916
Argentine,Austrian,3
Argentine,Belgian,3
Argentine,Brazilian,7
Argentine,British,8
Argentine,Chilean,4
Argentine,Chinese,1
Argentine,Colombian,18
Argentine,Cuban,2
Argentine,Czech,1
Argentine,Danish,1
Argentine,Dutch,1
Argentine,French,12
Argentine,German,5
Argentine,Hungarian,1
Argentine,Indian,1
Argentine,Israeli,1
Argentine,Italian,16
Argentine,Japanese,5
Argentine,Mexican,13
Argentine,Paraguayan,2
Argentine,Polish,2
Argentine,Romanian,1
Argentine,Russian,4
Argentine,Spanish,13
Argentine,Swedish,1
Argentine,Swiss,1
Argentine,Uruguayan,2
Argentine,Venezuelan,14
Australian,American,26
Australian,Australian,2
Australian,Austrian,1
Australian,Belgian,1
Australian,British,6
Australian,Dutch,9
Australian,French,4
Australian,German,6
Australian,Hungarian,1
Australian,Italian,1
Australian,Serbian,2
Australian,Swiss,3
Austrian,American,95
Austrian,Argentine,3
Austrian,Australian,1
Austrian,Austrian,318
Austrian,Belgian,2
Austrian,Brazilian,1
Austrian,British,13
Austrian,Canadian,1
Austrian,Chilean,2
Austrian,Chinese,3
Austrian,Cuban,1
Austrian,Czech,3
Austrian,Danish,3
Austrian,Dutch,13
Austrian,French,41
Austrian,Georgian,1
Austrian,German,132
Austrian,Ghanaian,1
Austrian,Hungarian,2
Austrian,Irish,2
Austrian,Israeli,3
Austrian,Italian,15
Austrian,Japanese,12
Austrian,Korean,1
Austrian,Mexican,5
Austrian,Moroccan,1
Austrian,Norwegian,2
Austrian,Polish,10
Austrian,Russian,2
Austrian,South African,1
Austrian,Spanish,3
Austrian,Swedish,3
Austrian,Swiss,77
Austrian,Thai,4
Austrian,Ukrainian,1
Belgian,Algerian,1
Belgian,American,70
Belgian,Argentine,3
Belgian,Australian,1
Belgian,Austrian,2
Belgian,Belgian,24
Belgian,Brazilian,1
Belgian,British,14
Belgian,Canadian,5
Belgian,Chilean,9
Belgian,Chinese,1
Belgian,Cuban,2
Belgian,Czech,2
Belgian,Danish,12
Belgian,Dutch,25
Belgian,French,74
Belgian,German,18
Belgian,Hungarian,3
Belgian,Icelandic,1
Belgian,Indian,1
Belgian,Israeli,9
Belgian,Italian,29
Belgian,Japanese,9
Belgian,Korean,1
Belgian,Mexican,1
Belgian,Polish,1
Belgian,Romanian,3
Belgian,Russian,6
Belgian,South African,1
Belgian,Spanish,5
Belgian,Swedish,6
Belgian,Swiss,11
Bosnian,Croatian,5
Bosnian,Swiss,3
Brazilian,American,48
Brazilian,Argentine,7
Brazilian,Austrian,1
Brazilian,Belgian,1
Brazilian,Brazilian,92
Brazilian,British,3
Brazilian,Chilean,3
Brazilian,Colombian,18
Brazilian,Cuban,3
Brazilian,Czech,1
Brazilian,French,24
Brazilian,German,10
Brazilian,Italian,1
Brazilian,Japanese,1
Brazilian,Korean,1
Brazilian,Mexican,6
Brazilian,Paraguayan,1
Brazilian,Romanian,2
Brazilian,Spanish,6
Brazilian,Swiss,1
Brazilian,Uruguayan,6
Brazilian,Venezuelan,12
British,American,606
British,Argentine,8
British,Australian,6
British,Austrian,13
British,Belgian,14
British,Brazilian,3
British,British,1850
British,Canadian,63
British,Chilean,4
British,Chinese,6
British,Colombian,6
British,Cuban,8
British,Cypriot,2
British,Czech,5
British,Danish,20
British,Dutch,130
British,Egyptian,1
British,Finnish,2
British,French,125
British,German,81
British,Greek,1
British,Hungarian,2
British,Icelandic,3
British,Indian,3
British,Irish,3
British,Israeli,7
British,Italian,40
British,Japanese,13
British,Korean,2
British,Lebanese,1
British,Mexican,48
British,Moroccan,1
British,New Zealander,1
British,Paraguayan,1
British,Polish,16
British,Portuguese,13
British,Romanian,3
British,Russian,1
British,Scottish,1
British,South African,2
British,Spanish,17
British,Swedish,5
British,Swiss,36
British,Thai,3
British,Uruguayan,2
British,Venezuelan,7
Canadian,American,166
Canadian,Austrian,1
Canadian,Belgian,5
Canadian,British,63
Canadian,Canadian,130
Canadian,Chilean,1
Canadian,Danish,3
Canadian,Dutch,6
Canadian,French,55
Canadian,German,21
Canadian,Greek,6
Canadian,Hungarian,41
Canadian,Icelandic,1
Canadian,Italian,12
Canadian,Japanese,5
Canadian,Polish,1
Canadian,Scottish,1
Canadian,South African,12
Canadian,Spanish,7
Canadian,Swedish,4
Canadian,Swiss,11
Canadian,Taiwanese,6
Catalan,German,2
Catalan,Swedish,1
Chilean,American,12
Chilean,Argentine,4
Chilean,Austrian,2
Chilean,Belgian,9
Chilean,Brazilian,3
Chilean,British,4
Chilean,Canadian,1
Chilean,Chilean,102
Chilean,Cuban,2
Chilean,Czech,1
Chilean,Dutch,1
Chilean,French,8
Chilean,German,2
Chilean,Italian,7
Chilean,Japanese,1
Chilean,Mexican,2
Chilean,Polish,3
Chilean,Romanian,2
Chilean,Russian,1
Chilean,Spanish,3
Chilean,Swiss,1
Chinese,American,16
Chinese,Argentine,1
Chinese,Austrian,3
Chinese,Belgian,1
Chinese,British,6
Chinese,Chinese,632
Chinese,Cuban,1
Chinese,Dutch,3
Chinese,French,3
Chinese,Georgian,1
Chinese,German,5
Chinese,Indian,2
Chinese,Israeli,2
Chinese,Italian,4
Chinese,Japanese,18
Chinese,Kenyan,1
Chinese,Korean,1
Chinese,Mexican,1
Chinese,Moroccan,1
Chinese,Polish,1
Chinese,Romanian,2
Chinese,Swedish,1
Chinese,Swiss,1
Colombian,American,12
Colombian,Argentine,18
Colombian,Brazilian,18
Colombian,British,6
Colombian,Colombian,100
Colombian,Japanese,6
Colombian,Mexican,78
Colombian,Paraguayan,6
Colombian,Peruvian,1
Colombian,Spanish,24
Colombian,Uruguayan,6
Colombian,Venezuelan,78
Croatian,American,10
Croatian,Bosnian,5
Croatian,Croatian,28
Croatian,French,1
Croatian,Swiss,4
Cuban,American,22
Cuban,Argentine,2
Cuban,Austrian,1
Cuban,Belgian,2
Cuban,Brazilian,3
Cuban,British,8
Cuban,Chilean,2
Cuban,Chinese,1
Cuban,Cuban,68
Cuban,Czech,2
Cuban,French,23
Cuban,German,3
Cuban,Indian,1
Cuban,Italian,5
Cuban,Japanese,2
Cuban,Romanian,3
Cuban,Spanish,7
Cuban,Swedish,1
Cuban,Swiss,2
Cypriot,British,2
Czech,American,56
Czech,Argentine,1
Czech,Austrian,3
Czech,Belgian,2
Czech,Brazilian,1
Czech,British,5
Czech,Chilean,1
Czech,Cuban,2
Czech,Czech,40
Czech,Danish,2
Czech,Dutch,3
Czech,French,26
Czech,German,39
Czech,Hungarian,4
Czech,Italian,5
Czech,Japanese,3
Czech,Polish,5
Czech,Romanian,6
Czech,Slovenian,4
Czech,Spanish,2
Czech,Swedish,1
Czech,Swiss,5
Danish,American,148
Danish,Argentine,1
Danish,Austrian,3
Danish,Belgian,12
Danish,British,20
Danish,Canadian,3
Danish,Czech,2
Danish,Danish,90
Danish,Dutch,31
Danish,Filipino,25
Danish,French,25
Danish,German,59
Danish,Icelandic,7
Danish,Italian,10
Danish,Japanese,12
Danish,Lebanese,1
Danish,Norwegian,1
Danish,Spanish,3
Danish,Swedish,2
Danish,Swiss,3
Danish,Thai,1
Danish,Welsh,1
Dutch,Algerian,1
Dutch,American,307
Dutch,Argentine,1
Dutch,Australian,9
Dutch,Austrian,13
Dutch,Belgian,25
Dutch,British,130
Dutch,Canadian,6
Dutch,Chilean,1
Dutch,Chinese,3
Dutch,Czech,3
Dutch,Danish,31
Dutch,Dutch,442
Dutch,French,131
Dutch,German,52
Dutch,Hungarian,36
Dutch,Icelandic,3
Dutch,Iranian,3
Dutch,Italian,36
Dutch,Japanese,17
Dutch,Mexican,2
Dutch,Norwegian,2
Dutch,Polish,2
Dutch,Russian,3
Dutch,Scottish,1
Dutch,Slovak,70
Dutch,Spanish,8
Dutch,Swedish,2
Dutch,Swiss,25
Egyptian,British,1
Egyptian,German,1
Egyptian,Indian,1
Filipino,Danish,25
Finnish,American,1
Finnish,British,2
Finnish,Finnish,40
Finnish,German,1
Finnish,Swedish,1
French,Algerian,12
French,American,1177
French,Argentine,12
French,Australian,4
French,Austrian,41
French,Belgian,74
French,Brazilian,24
French,British,125
French,Canadian,55
French,Chilean,8
French,Chinese,3
French,Croatian,1
French,Cuban,23
French,Czech,26
French,Danish,25
French,Dutch,131
French,French,2776
French,German,172
French,Greek,8
French,Hungarian,672
French,Icelandic,7
French,Indian,3
French,Irish,11
French,Israeli,3
French,Italian,223
French,Japanese,213
French,Mexican,14
French,Polish,39
French,Portuguese,8
French,Romanian,15
French,Russian,25
French,South African,2
French,Spanish,170
French,Swedish,17
French,Swiss,344
French,Uruguayan,8
French,Venezuelan,2
Georgian,American,1
Georgian,Austrian,1
Georgian,Chinese,1
Georgian,Georgian,30
Georgian,German,2
Georgian,Russian,138
Georgian,Spanish,1
Georgian,Ukrainian,18
German,Albanian,1
German,American,714
German,Argentine,5
German,Australian,6
German,Austrian,132
German,Belgian,18
German,Brazilian,10
German,British,81
German,Canadian,21
German,Catalan,2
German,Chilean,2
German,Chinese,5
German,Cuban,3
German,Czech,39
German,Danish,59
German,Dutch,52
German,Egyptian,1
German,Finnish,1
German,French,172
German,Georgian,2
German,German,2960
German,Greek,1
German,Hungarian,45
German,Icelandic,1
German,Indian,1
German,Irish,3
German,Israeli,7
German,Italian,60
German,Japanese,25
German,Korean,2
German,Mexican,3
German,Polish,34
German,Portuguese,7
German,Romanian,8
German,Russian,12
German,Serbian,1
German,South African,4
German,Spanish,8
German,Swedish,21
German,Swiss,90
German,Thai,9
German,Ukrainian,1
German,Welsh,1
Ghanaian,American,2
Ghanaian,Austrian,1
Ghanaian,Swedish,1
Ghanaian,Ukrainian,1
Greek,American,63
Greek,British,1
Greek,Canadian,6
Greek,French,8
Greek,German,1
Greek,Italian,2
Greek,Mexican,1
Greek,South African,12
Greek,Spanish,3
Greek,Swiss,9
Greek,Taiwanese,6
Greek,Uruguayan,1
Hungarian,American,408
Hungarian,Argentine,1
Hungarian,Australian,1
Hungarian,Austrian,2
Hungarian,Belgian,3
Hungarian,British,2
Hungarian,Canadian,41
Hungarian,Czech,4
Hungarian,Dutch,36
Hungarian,French,672
Hungarian,German,45
Hungarian,Hungarian,8
Hungarian,Israeli,1
Hungarian,Italian,36
Hungarian,Japanese,94
Hungarian,Polish,4
Hungarian,Romanian,4
Hungarian,Russian,3
Hungarian,Slovenian,4
Hungarian,Swiss,1
Icelandic,American,33
Icelandic,Belgian,1
Icelandic,British,3
Icelandic,Canadian,1
Icelandic,Danish,7
Icelandic,Dutch,3
Icelandic,French,7
Icelandic,German,1
Icelandic,Icelandic,12
Icelandic,Swiss,1
Indian,American,9
Indian,Argentine,1
Indian,Belgian,1
Indian,British,3
Indian,Chinese,2
Indian,Cuban,1
Indian,Egyptian,1
Indian,French,3
Indian,German,1
Indian,Indian,26
Indian,Italian,4
Indian,Japanese,2
Indian,Kenyan,1
Indian,Mexican,1
Indian,Romanian,1
Indian,Swedish,1
Iranian,American,6
Iranian,Dutch,3
Iranian,Spanish,6
Irish,American,14
Irish,Austrian,2
Irish,British,3
Irish,French,11
Irish,German,3
Irish,Irish,28
Irish,Italian,1
Irish,Japanese,1
Irish,Mexican,1
Irish,Swedish,1
Irish,Swiss,2
Israeli,American,6
Israeli,Argentine,1
Israeli,Austrian,3
Israeli,Belgian,9
Israeli,British,7
Israeli,Chinese,2
Israeli,French,3
Israeli,German,7
Israeli,Hungarian,1
Israeli,Israeli,6
Israeli,Italian,6
Israeli,Moroccan,1
Israeli,Romanian,1
Israeli,Russian,3
Italian,American,214
Italian,Argentine,16
Italian,Australian,1
Italian,Austrian,15
Italian,Belgian,29
Italian,Brazilian,1
Italian,British,40
Italian,Canadian,12
Italian,Chilean,7
Italian,Chinese,4
Italian,Cuban,5
Italian,Czech,5
Italian,Danish,10
Italian,Dutch,36
Italian,French,223
Italian,German,60
Italian,Greek,2
Italian,Hungarian,36
Italian,Indian,4
Italian,Irish,1
Italian,Israeli,6
Italian,Italian,1178
Italian,Japanese,39
Italian,Korean,1
Italian,Mexican,15
Italian,Norwegian,1
Italian,Polish,13
Italian,Romanian,6
Italian,Russian,16
Italian,South African,1
Italian,Spanish,17
Italian,Swedish,13
Italian,Swiss,41
Italian,Uruguayan,2
Japanese,American,510
Japanese,Argentine,5
Japanese,Austrian,12
Japanese,Belgian,9
Japanese,Brazilian,1
Japanese,British,13
Japanese,Canadian,5
Japanese,Chilean,1
Japanese,Chinese,18
Japanese,Colombian,6
Japanese,Cuban,2
Japanese,Czech,3
Japanese,Danish,12
Japanese,Dutch,17
Japanese,French,213
Japanese,German,25
Japanese,Hungarian,94
Japanese,Indian,2
Japanese,Irish,1
Japanese,Italian,39
Japanese,Japanese,444
Japanese,Korean,1
Japanese,Mexican,7
Japanese,Paraguayan,1
Japanese,Polish,2
Japanese,Romanian,2
Japanese,Russian,1
Japanese,Spanish,4
Japanese,Swedish,7
Japanese,Swiss,19
Japanese,Uruguayan,1
Japanese,Venezuelan,6
Japanese,Welsh,1
Kenyan,American,8
Kenyan,Chinese,1
Kenyan,Indian,1
Kenyan,Mexican,1
Korean,American,6
Korean,Austrian,1
Korean,Belgian,1
Korean,Brazilian,1
Korean,British,2
Korean,Chinese,1
Korean,German,2
Korean,Italian,1
Korean,Japanese,1
Korean,Swedish,1
Kyrgyz,Kyrgyz,2
Latvian,Russian,15
Lebanese,Algerian,10
Lebanese,American,5
Lebanese,British,1
Lebanese,Danish,1
Lebanese,Thai,1
Lithuanian,American,3
Macedonian,Macedonian,6
Macedonian,Swiss,4
Mexican,American,98
Mexican,Argentine,13
Mexican,Austrian,5
Mexican,Belgian,1
Mexican,Brazilian,6
Mexican,British,48
Mexican,Chilean,2
Mexican,Chinese,1
Mexican,Colombian,78
Mexican,Dutch,2
Mexican,French,14
Mexican,German,3
Mexican,Greek,1
Mexican,Indian,1
Mexican,Irish,1
Mexican,Italian,15
Mexican,Japanese,7
Mexican,Kenyan,1
Mexican,Mexican,180
Mexican,Paraguayan,5
Mexican,Polish,5
Mexican,Russian,2
Mexican,Spanish,31
Mexican,Swiss,5
Mexican,Uruguayan,6
Mexican,Venezuelan,78
Moroccan,American,1
Moroccan,Austrian,1
Moroccan,British,1
Moroccan,Chinese,1
Moroccan,Israeli,1
Moroccan,Polish,1
New Zealander,American,3
New Zealander,British,1
New Zealander,New Zealander,42
New Zealander,Swedish,1
New Zealander,Swiss,1
Norwegian,American,1
Norwegian,Austrian,2
Norwegian,Danish,1
Norwegian,Dutch,2
Norwegian,Italian,1
Norwegian,Norwegian,56
Palestinian,Palestinian,14
Paraguayan,American,2
Paraguayan,Argentine,2
Paraguayan,Brazilian,1
Paraguayan,British,1
Paraguayan,Colombian,6
Paraguayan,Japanese,1
Paraguayan,Mexican,5
Paraguayan,Spanish,3
Paraguayan,Uruguayan,1
Paraguayan,Venezuelan,6
Peruvian,Colombian,1
Peruvian,Peruvian,26
Polish,American,16
Polish,Argentine,2
Polish,Austrian,10
Polish,Belgian,1
Polish,British,16
Polish,Canadian,1
Polish,Chilean,3
Polish,Chinese,1
Polish,Czech,5
Polish,Dutch,2
Polish,French,39
Polish,German,34
Polish,Hungarian,4
Polish,Italian,13
Polish,Japanese,2
Polish,Mexican,5
Polish,Moroccan,1
Polish,Polish,16
Polish,Romanian,4
Polish,Russian,2
Polish,Slovenian,4
Polish,Spanish,5
Polish,Swiss,3
Portuguese,British,13
Portuguese,French,8
Portuguese,German,7
Portuguese,Portuguese,12
Portuguese,Swiss,6
Romanian,American,21
Romanian,Argentine,1
Romanian,Belgian,3
Romanian,Brazilian,2
Romanian,British,3
Romanian,Chilean,2
Romanian,Chinese,2
Romanian,Cuban,3
Romanian,Czech,6
Romanian,French,15
Romanian,German,8
Romanian,Hungarian,4
Romanian,Indian,1
Romanian,Israeli,1
Romanian,Italian,6
Romanian,Japanese,2
Romanian,Polish,4
Romanian,Romanian,6
Romanian,Slovenian,4
Romanian,Spanish,2
Romanian,Swedish,1
Romanian,Swiss,4
Russian,American,48
Russian,Argentine,4
Russian,Austrian,2
Russian,Belgian,6
Russian,British,1
Russian,Chilean,1
Russian,Dutch,3
Russian,French,25
Russian,Georgian,138
Russian,German,12
Russian,Hungarian,3
Russian,Israeli,3
Russian,Italian,16
Russian,Japanese,1
Russian,Latvian,15
Russian,Mexican,2
Russian,Polish,2
Russian,Russian,3714
Russian,Swiss,1
Russian,Ukrainian,348
Sahrawi,Swiss,1
Salvadoran,American,1
Scottish,American,2
Scottish,British,1
Scottish,Canadian,1
Scottish,Dutch,1
Scottish,Swiss,1
Serbian,American,6
Serbian,Australian,2
Serbian,German,1
Serbian,Serbian,94
Serbian,Swiss,7
Slovak,American,70
Slovak,Dutch,70
Slovenian,Czech,4
Slovenian,Hungarian,4
Slovenian,Polish,4
Slovenian,Romanian,4
Slovenian,Slovenian,2
Slovenian,Swiss,1
South African,American,149
South African,Austrian,1
South African,Belgian,1
South African,British,2
South African,Canadian,12
South African,French,2
South African,German,4
South African,Greek,12
South African,Italian,1
South African,South African,52
South African,Swiss,14
South African,Taiwanese,12
Spanish,American,101
Spanish,Argentine,13
Spanish,Austrian,3
Spanish,Belgian,5
Spanish,Brazilian,6
Spanish,British,17
Spanish,Canadian,7
Spanish,Chilean,3
Spanish,Colombian,24
Spanish,Cuban,7
Spanish,Czech,2
Spanish,Danish,3
Spanish,Dutch,8
Spanish,French,170
Spanish,Georgian,1
Spanish,German,8
Spanish,Greek,3
Spanish,Iranian,6
Spanish,Italian,17
Spanish,Japanese,4
Spanish,Mexican,31
Spanish,Paraguayan,3
Spanish,Polish,5
Spanish,Romanian,2
Spanish,Spanish,116
Spanish,Swedish,2
Spanish,Swiss,22
Spanish,Uruguayan,6
Spanish,Venezuelan,24
Swedish,American,72
Swedish,Argentine,1
Swedish,Austrian,3
Swedish,Belgian,6
Swedish,British,5
Swedish,Canadian,4
Swedish,Catalan,1
Swedish,Chinese,1
Swedish,Cuban,1
Swedish,Czech,1
Swedish,Danish,2
Swedish,Dutch,2
Swedish,Finnish,1
Swedish,French,17
Swedish,German,21
Swedish,Ghanaian,1
Swedish,Indian,1
Swedish,Irish,1
Swedish,Italian,13
Swedish,Japanese,7
Swedish,Korean,1
Swedish,New Zealander,1
Swedish,Romanian,1
Swedish,Spanish,2
Swedish,Swedish,102
Swedish,Swiss,1
Swedish,Ukrainian,1
Swiss,Algerian,1
Swiss,American,306
Swiss,Argentine,1
Swiss,Australian,3
Swiss,Austrian,77
Swiss,Belgian,11
Swiss,Bosnian,3
Swiss,Brazilian,1
Swiss,British,36
Swiss,Canadian,11
Swiss,Chilean,1
Swiss,Chinese,1
Swiss,Croatian,4
Swiss,Cuban,2
Swiss,Czech,5
Swiss,Danish,3
Swiss,Dutch,25
Swiss,French,344
Swiss,German,90
Swiss,Greek,9
Swiss,Hungarian,1
Swiss,Icelandic,1
Swiss,Irish,2
Swiss,Italian,41
Swiss,Japanese,19
Swiss,Macedonian,4
Swiss,Mexican,5
Swiss,New Zealander,1
Swiss,Polish,3
Swiss,Portuguese,6
Swiss,Romanian,4
Swiss,Russian,1
Swiss,Sahrawi,1
Swiss,Scottish,1
Swiss,Serbian,7
Swiss,Slovenian,1
Swiss,South African,14
Swiss,Spanish,22
Swiss,Swedish,1
Swiss,Swiss,386
Swiss,Taiwanese,6
Swiss,Thai,4
Swiss,Uruguayan,3
Taiwanese,American,60
Taiwanese,Canadian,6
Taiwanese,Greek,6
Taiwanese,South African,12
Taiwanese,Swiss,6
Thai,American,14
Thai,Austrian,4
Thai,British,3
Thai,Danish,1
Thai,German,9
Thai,Lebanese,1
Thai,Swiss,4
Thai,Thai,4
Ukrainian,American,2
Ukrainian,Austrian,1
Ukrainian,Georgian,18
Ukrainian,German,1
Ukrainian,Ghanaian,1
Ukrainian,Russian,348
Ukrainian,Swedish,1
Ukrainian,Ukrainian,42
Uruguayan,American,6
Uruguayan,Argentine,2
Uruguayan,Brazilian,6
Uruguayan,British,2
Uruguayan,Colombian,6
Uruguayan,French,8
Uruguayan,Greek,1
Uruguayan,Italian,2
Uruguayan,Japanese,1
Uruguayan,Mexican,6
Uruguayan,Paraguayan,1
Uruguayan,Spanish,6
Uruguayan,Swiss,3
Uruguayan,Uruguayan,192
Uruguayan,Venezuelan,6
Venezuelan,American,84
Venezuelan,Argentine,14
Venezuelan,Brazilian,12
Venezuelan,British,7
Venezuelan,Colombian,78
Venezuelan,French,2
Venezuelan,Japanese,6
Venezuelan,Mexican,78
Venezuelan,Paraguayan,6
Venezuelan,Spanish,24
Venezuelan,Uruguayan,6
Venezuelan,Venezuelan,118
Vietnamese,American,8
Vietnamese,Vietnamese,6
Welsh,American,9
Welsh,Danish,1
Welsh,German,1
Welsh,Japanese,1
