source,target,value
0,0,2
0,2,3
0,27,1
1,6,1
1,21,1
1,25,12
1,44,10
1,67,1
2,0,3
2,2,22958
2,3,836
2,4,26
2,5,95
2,6,70
2,8,48
2,9,606
2,11,166
2,13,12
2,14,16
2,15,12
2,16,10
2,17,22
2,19,56
2,20,148
2,21,307
2,24,1
2,25,1177
2,26,1
2,27,714
2,28,2
2,29,63
2,31,408
2,32,33
2,33,9
2,34,6
2,35,14
2,36,6
2,37,214
2,39,510
2,40,8
2,41,6
2,44,5
2,45,3
2,47,98
2,48,1
2,49,3
2,50,1
2,52,2
2,54,16
2,56,21
2,57,48
2,59,1
2,60,2
2,61,6
2,62,70
2,64,149
2,65,101
2,66,72
2,67,306
2,68,60
2,69,14
2,70,2
2,71,6
2,72,84
2,73,8
2,74,9
3,2,836
3,3,4916
3,5,3
3,6,3
3,8,7
3,9,8
3,13,4
3,14,1
3,15,18
3,17,2
3,19,1
3,20,1
3,21,1
3,25,12
3,27,5
3,31,1
3,33,1
3,36,1
3,37,16
3,39,5
3,47,13
3,52,2
3,54,2
3,56,1
3,57,4
3,65,13
3,66,1
3,67,1
3,71,2
3,72,14
4,2,26
4,4,2
4,5,1
4,6,1
4,9,6
4,21,9
4,25,4
4,27,6
4,31,1
4,37,1
4,61,2
4,67,3
5,2,95
5,3,3
5,4,1
5,5,318
5,6,2
5,8,1
5,9,13
5,11,1
5,13,2
5,14,3
5,17,1
5,19,3
5,20,3
5,21,13
5,25,41
5,26,1
5,27,132
5,28,1
5,31,2
5,35,2
5,36,3
5,37,15
5,39,12
5,41,1
5,47,5
5,48,1
5,50,2
5,54,10
5,57,2
5,64,1
5,65,3
5,66,3
5,67,77
5,69,4
5,70,1
6,1,1
6,2,70
6,3,3
6,4,1
6,5,2
6,6,24
6,8,1
6,9,14
6,11,5
6,13,9
6,14,1
6,17,2
6,19,2
6,20,12
6,21,25
6,25,74
6,27,18
6,31,3
6,32,1
6,33,1
6,36,9
6,37,29
6,39,9
6,41,1
6,47,1
6,54,1
6,56,3
6,57,6
6,64,1
6,65,5
6,66,6
6,67,11
7,16,5
7,67,3
8,2,48
8,3,7
8,5,1
8,6,1
8,8,92
8,9,3
8,13,3
8,15,18
8,17,3
8,19,1
8,25,24
8,27,10
8,37,1
8,39,1
8,41,1
8,47,6
8,52,1
8,56,2
8,65,6
8,67,1
8,71,6
8,72,12
9,2,606
9,3,8
9,4,6
9,5,13
9,6,14
9,8,3
9,9,1850
9,11,63
9,13,4
9,14,6
9,15,6
9,17,8
9,18,2
9,19,5
9,20,20
9,21,130
9,22,1
9,24,2
9,25,125
9,27,81
9,29,1
9,31,2
9,32,3
9,33,3
9,35,3
9,36,7
9,37,40
9,39,13
9,41,2
9,44,1
9,47,48
9,48,1
9,49,1
9,52,1
9,54,16
9,55,13
9,56,3
9,57,1
9,60,1
9,64,2
9,65,17
9,66,5
9,67,36
9,69,3
9,71,2
9,72,7
11,2,166
11,5,1
11,6,5
11,9,63
11,11,130
11,13,1
11,20,3
11,21,6
11,25,55
11,27,21
11,29,6
11,31,41
11,32,1
11,37,12
11,39,5
11,54,1
11,60,1
11,64,12
11,65,7
11,66,4
11,67,11
11,68,6
12,27,2
12,66,1
13,2,12
13,3,4
13,5,2
13,6,9
13,8,3
13,9,4
13,11,1
13,13,102
13,17,2
13,19,1
13,21,1
13,25,8
13,27,2
13,37,7
13,39,1
13,47,2
13,54,3
13,56,2
13,57,1
13,65,3
13,67,1
14,2,16
14,3,1
14,5,3
14,6,1
14,9,6
14,14,632
14,17,1
14,21,3
14,25,3
14,26,1
14,27,5
14,33,2
14,36,2
14,37,4
14,39,18
14,40,1
14,41,1
14,47,1
14,48,1
14,54,1
14,56,2
14,66,1
14,67,1
15,2,12
15,3,18
15,8,18
15,9,6
15,15,100
15,39,6
15,47,78
15,52,6
15,53,1
15,65,24
15,71,6
15,72,78
16,2,10
16,7,5
16,16,28
16,25,1
16,67,4
17,2,22
17,3,2
17,5,1
17,6,2
17,8,3
17,9,8
17,13,2
17,14,1
17,17,68
17,19,2
17,25,23
17,27,3
17,33,1
17,37,5
17,39,2
17,56,3
17,65,7
17,66,1
17,67,2
18,9,2
19,2,56
19,3,1
19,5,3
19,6,2
19,8,1
19,9,5
19,13,1
19,17,2
19,19,40
19,20,2
19,21,3
19,25,26
19,27,39
19,31,4
19,37,5
19,39,3
19,54,5
19,56,6
19,63,4
19,65,2
19,66,1
19,67,5
20,2,148
20,3,1
20,5,3
20,6,12
20,9,20
20,11,3
20,19,2
20,20,90
20,21,31
20,23,25
20,25,25
20,27,59
20,32,7
20,37,10
20,39,12
20,44,1
20,50,1
20,65,3
20,66,2
20,67,3
20,69,1
20,74,1
21,1,1
21,2,307
21,3,1
21,4,9
21,5,13
21,6,25
21,9,130
21,11,6
21,13,1
21,14,3
21,19,3
21,20,31
21,21,442
21,25,131
21,27,52
21,31,36
21,32,3
21,34,3
21,37,36
21,39,17
21,47,2
21,50,2
21,54,2
21,57,3
21,60,1
21,62,70
21,65,8
21,66,2
21,67,25
22,9,1
22,27,1
22,33,1
23,20,25
24,2,1
24,9,2
24,24,40
24,27,1
24,66,1
25,1,12
25,2,1177
25,3,12
25,4,4
25,5,41
25,6,74
25,8,24
25,9,125
25,11,55
25,13,8
25,14,3
25,16,1
25,17,23
25,19,26
25,20,25
25,21,131
25,25,2776
25,27,172
25,29,8
25,31,672
25,32,7
25,33,3
25,35,11
25,36,3
25,37,223
25,39,213
25,47,14
25,54,39
25,55,8
25,56,15
25,57,25
25,64,2
25,65,170
25,66,17
25,67,344
25,71,8
25,72,2
26,2,1
26,5,1
26,14,1
26,26,30
26,27,2
26,57,138
26,65,1
26,70,18
27,0,1
27,2,714
27,3,5
27,4,6
27,5,132
27,6,18
27,8,10
27,9,81
27,11,21
27,12,2
27,13,2
27,14,5
27,17,3
27,19,39
27,20,59
27,21,52
27,22,1
27,24,1
27,25,172
27,26,2
27,27,2960
27,29,1
27,31,45
27,32,1
27,33,1
27,35,3
27,36,7
27,37,60
27,39,25
27,41,2
27,47,3
27,54,34
27,55,7
27,56,8
27,57,12
27,61,1
27,64,4
27,65,8
27,66,21
27,67,90
27,69,9
27,70,1
27,74,1
28,2,2
28,5,1
28,66,1
28,70,1
29,2,63
29,9,1
29,11,6
29,25,8
29,27,1
29,37,2
29,47,1
29,64,12
29,65,3
29,67,9
29,68,6
29,71,1
31,2,408
31,3,1
31,4,1
31,5,2
31,6,3
31,9,2
31,11,41
31,19,4
31,21,36
31,25,672
31,27,45
31,31,8
31,36,1
31,37,36
31,39,94
31,54,4
31,56,4
31,57,3
31,63,4
31,67,1
32,2,33
32,6,1
32,9,3
32,11,1
