index,nationality
0,Albanian
1,Algerian
2,American
3,Argentine
4,Australian
5,Austrian
6,Belgian
7,Bosnian
8,Brazilian
9,British
10,Cambodian
11,Canadian
12,Catalan
13,Chilean
14,Chinese
15,Colombian
16,Croatian
17,Cuban
18,Cypriot
19,Czech
20,Danish
21,Dutch
22,Egyptian
23,Filipino
24,Finnish
25,French
26,Georgian
27,German
28,Ghanaian
29,Greek
30,Haitian
31,Hungarian
32,Icelandic
33,Indian
34,Iranian
35,Irish
36,Israeli
37,Italian
38,Ivorian
39,Japanese
40,Kenyan
41,Korean
42,Kyrgyz
43,Latvian
44,Lebanese
45,Lithuanian
46,Macedonian
47,Mexican
48,Moroccan
49,New Zealander
50,Norwegian
51,Palestinian
52,Paraguayan
53,Peruvian
54,Polish
55,Portuguese
56,Romanian
57,Russian
58,Sahrawi
59,Salvadoran
60,Scottish
61,Serbian
62,Slovak
63,Slovenian
64,South African
65,Spanish
66,Swedish
67,Swiss
68,Taiwanese
69,Thai
70,Ukrainian
71,Uruguayan
72,Venezuelan
73,Vietnamese
74,Welsh
