index,nationality
0,Albanian
1,Algerian
2,American
3,Argentine
4,Australian
5,Austrian
6,Belgian
7,Bosnian
8,Brazilian
9,British
10,Canadian
11,Catalan
12,Chilean
13,Chinese
14,Colombian
15,Croatian
16,Cuban
17,Cypriot
18,Czech
19,Danish
20,Dutch
21,Egyptian
22,Filipino
23,Finnish
24,French
25,Georgian
26,German
27,Ghanaian
28,Greek
29,Hungarian
30,Icelandic
31,Indian
32,Iranian
33,Irish
34,Israeli
35,Italian
36,Japanese
37,Kenyan
38,Korean
39,Kyrgyz
40,Latvian
41,Lebanese
42,Lithuanian
43,Macedonian
44,Mexican
45,Moroccan
46,New Zealander
47,Norwegian
48,Palestinian
49,Paraguayan
50,Peruvian
51,Polish
52,Portuguese
53,Romanian
54,Russian
55,Sahrawi
56,Salvadoran
57,Scottish
58,Serbian
59,Slovak
60,Slovenian
61,South African
62,Spanish
63,Swedish
64,Swiss
65,Taiwanese
66,Thai
67,Ukrainian
68,Uruguayan
69,Venezuelan
70,Vietnamese
71,Welsh
