ObjectID,RGBPalette,NamePalette,BasicPalette,Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
32,"[(247, 233, 175), (244, 249, 244), (221, 203, 144), (199, 180, 119), (197, 179, 132), (196, 188, 135)]","{'palegoldenrod', 'burlywood', 'whitesmoke', 'tan', 'darkkhaki'}","{'yellow', 'brown', 'white'}","Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",Louis I. Kahn,2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(Male),1968,Charcoal and graphite on tracing paper,"44 1/2 x 66"" (113 x 167.6 cm)",Purchase,3.1997,Architecture,Architecture & Design,1997-01-15,Y,http://www.moma.org/collection/works/32,http://www.moma.org/media/W1siZiIsIjUyNzU0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b8632d3696bb163,,,,113.0,,,167.6,,
205,"[(229, 211, 183), (237, 234, 223), (198, 169, 137), (205, 178, 150), (187, 177, 148), (196, 164, 148)]","{'tan', 'wheat', 'beige'}","{'brown', 'white'}","Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,Graphite and colored pencil on tracing paper,"30 3/4 x 20 1/8"" (78.1 x 51.1 cm)",Arthur Drexler Fund,111.1992,Architecture,Architecture & Design,1992-01-15,Y,http://www.moma.org/collection/works/205,http://www.moma.org/media/W1siZiIsIjUyNzA0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bcb15f10683f7f04,,,,78.1052,,,51.1176,,
206,"[(228, 205, 169), (237, 229, 211), (199, 166, 135), (198, 138, 108), (185, 148, 124), (179, 157, 127)]","{'tan', 'wheat', 'rosybrown', 'antiquewhite'}",{'brown'},"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,Graphite and colored pencil on tracing paper,"20 7/8 x 30 7/8"" (53 x 78.5 cm)",Arthur Drexler Fund,112.1992,Architecture,Architecture & Design,1992-01-15,Y,http://www.moma.org/collection/works/206,http://www.moma.org/media/W1siZiIsIjUyNzM4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=29b8364985398c2e,,,,53.0,,,78.5,,
207,"[(221, 191, 147), (237, 227, 197), (174, 164, 115), (194, 137, 103), (152, 159, 104), (172, 133, 89)]","{'bisque', 'burlywood', 'peru', 'darkkhaki', 'rosybrown'}","{'yellow', 'brown'}","Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,"Colored pencil, graphite, and color ink on tracing paper","16 15/16 x 19 1/4"" (43.1 x 48.9 cm)",Arthur Drexler Fund,113.1992,Architecture,Architecture & Design,1992-01-15,Y,http://www.moma.org/collection/works/207,http://www.moma.org/media/W1siZiIsIjUyNzM4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9b97a5c35accafae,,,,43.1,,,48.8951,,
208,"[(231, 211, 176), (183, 142, 115), (214, 187, 145), (194, 159, 123), (201, 168, 137), (178, 161, 134)]","{'tan', 'wheat', 'rosybrown'}",{'brown'},"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Perspective",Frank Lloyd Wright,6459,"(American, 1867–1959)",(American),(1867),(1959),(Male),1941,Graphite and color pencil on tracing paper,"20 3/4 x 31"" (52.7 x 78.8 cm)",Arthur Drexler Fund,114.1992,Architecture,Architecture & Design,1992-01-15,Y,http://www.moma.org/collection/works/208,http://www.moma.org/media/W1siZiIsIjUyNzM4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e470feb925540ba7,,,,52.7051,,,78.8,,
211,"[(248, 210, 117), (241, 231, 215), (148, 103, 63), (188, 144, 87), (163, 124, 72), (175, 134, 60)]","{'khaki', 'peru', 'sienna', 'antiquewhite'}","{'yellow', 'brown'}","House, Northern Delaware, Preliminary study of west elevation","Venturi and Rauch, Robert Venturi, John Rauch, Denise Scott Brown","8213, 6132, 8214, 8216","(American, est. 1964–1979) (American, 1925–2018) (American, born 1930) (American, born Zambia, 1931)",(American) (American) (American) (American),(1964) (1925) (1930) (1931),(1979) (2018) (0) (0),() (Male) (Male) (Female),1978,Felt-tipped pen on tracing paper,"12 x 23 1/2"" (30.5 x 59.7 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",121.1988,Architecture,Architecture & Design,1988-04-27,Y,http://www.moma.org/collection/works/211,http://www.moma.org/media/W1siZiIsIjUyNzA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=87521825df502c00,,,,30.4801,,,59.6901,,
212,"[(249, 209, 118), (86, 62, 35), (240, 229, 212), (164, 128, 78), (134, 98, 61), (142, 110, 51)]","{'darkolivegreen', 'peru', 'antiquewhite', 'khaki', 'sienna'}","{'yellow', 'green', 'brown'}","Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows","Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown","8215, 6132, 8214, 8216","(American, established 1980) (American, 1925–2018) (American, born 1930) (American, born Zambia, 1931)",(American) (American) (American) (American),(1980) (1925) (1930) (1931),(0) (2018) (0) (0),() (Male) (Male) (Female),1981,Felt-tipped pen on tracing paper,"12 x 15 1/8"" (30.5 x 38.4 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",122.1988,Architecture,Architecture & Design,1988-04-27,Y,http://www.moma.org/collection/works/212,http://www.moma.org/media/W1siZiIsIjUyNzA0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1d4c20a14734b9b3,,,,30.4801,,,38.4176,,
213,"[(235, 211, 136), (241, 235, 219), (238, 226, 181), (192, 171, 109), (195, 180, 113), (187, 166, 98)]","{'khaki', 'darkkhaki', 'wheat', 'antiquewhite'}","{'yellow', 'brown'}","Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation","Venturi, Rauch and Scott Brown, Robert Venturi, John Rauch, Denise Scott Brown","8215, 6132, 8214, 8216","(American, established 1980) (American, 1925–2018) (American, born 1930) (American, born Zambia, 1931)",(American) (American) (American) (American),(1980) (1925) (1930) (1931),(0) (2018) (0) (0),() (Male) (Male) (Female),1981,Graphite on tracing paper,"12 x 13 1/2"" (30.5 x 34.3 cm)","Gift of Venturi, Rauch and Scott Brown, Inc.",123.1988,Architecture,Architecture & Design,1988-04-27,Y,http://www.moma.org/collection/works/213,http://www.moma.org/media/W1siZiIsIjIxMDM0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=33e806641be4aeda,,,,30.4801,,,34.2901,,
426,"[(237, 227, 217), (239, 73, 76), (241, 141, 137), (240, 180, 172), (237, 172, 155), (231, 118, 100)]","{'burlywood', 'lightpink', 'lightcoral', 'antiquewhite', 'salmon', 'tomato'}","{'red', 'pink', 'brown', 'orange'}","Chikatsu-Asuka Historical Museum, Minami-Kawachi, Osaka, Japan, Perspective sketch",Tadao Ando,7055,"(Japanese, born 1941)",(Japanese),(1941),(0),(Male),1991,Crayon on mulberry paper,"11 7/8 x 18 11/16"" (30.2 x 47.5 cm)",Gift of the architect in honor of Lily Auchincloss,373.1994,Architecture,Architecture & Design,1994-09-21,Y,http://www.moma.org/collection/works/426,http://www.moma.org/media/W1siZiIsIjUyNzYwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=379bcc30f0ce05a2,,,,30.2,,,47.5,,
436,"[(223, 199, 151), (237, 227, 212), (173, 151, 103), (233, 220, 182), (174, 156, 116), (172, 164, 116)]","{'wheat', 'darkkhaki', 'burlywood', 'antiquewhite'}","{'yellow', 'brown'}","Tribune Review Publishing Company Building, Greensburg, Pennsylvania, Elevation sketch",Louis I. Kahn,2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(Male),1958,Crayon on tracing paper,"12 x 25 1/4"" (30.5 x 64.1 cm)",Gift of the architect,376.1967,Architecture,Architecture & Design,1967-04-11,Y,http://www.moma.org/collection/works/436,http://www.moma.org/media/W1siZiIsIjUxOTY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e04f9804c386a8ce,,,,30.5,,,64.1,,
556,"[(244, 235, 185), (176, 167, 124), (206, 195, 150), (250, 248, 242), (184, 172, 140), (180, 180, 140)]","{'tan', 'darkkhaki', 'moccasin', 'floralwhite'}","{'yellow', 'white', 'brown'}","Mikveh Israel Synagogue, project, Philadelphia, Pennsylvania, Elevation with school building at left",Louis I. Kahn,2964,"(American, born Estonia. 1901–1974)",(American),(1901),(1974),(Male),1962,Charcoal on tracing paper,"23 3/4 x 113 1/2"" (60.3 x 288.3 cm)",Gift of the architect,404.1964,Architecture,Architecture & Design,1964-04-14,Y,http://www.moma.org/collection/works/556,http://www.moma.org/media/W1siZiIsIjUxOTI2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=982e46881775a3ec,,,,60.3,,,240.0,,
701,"[(224, 210, 182), (191, 182, 157), (169, 161, 138), (180, 164, 141), (181, 172, 140), (204, 179, 151)]","{'tan', 'wheat', 'rosybrown'}",{'brown'},"Nucleus of an Underground Building, project, Perspective",Walter Pichler,4612,"(Austrian, 1936–2012)",(Austrian),(1936),(2012),(Male),1962,Graphite and color pencil on tracing paper,"17 1/2 x 19"" (44.5 x 48.3 cm)",Philip Johnson Fund,569.1963,Architecture,Architecture & Design,1963-11-12,Y,http://www.moma.org/collection/works/701,http://www.moma.org/media/W1siZiIsIjUxODUyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=10c6749e01dea29a,,,,44.5,,,48.3,,
754,"[(221, 204, 175), (186, 172, 147), (196, 181, 156), (198, 181, 147), (204, 180, 156), (196, 172, 148)]","{'tan', 'wheat'}",{'brown'},"IIT Master Plan, Chicago, IL, Campus, site plan, early scheme",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),c. 1939-40,Pencil on illustration board,"30 x 40"" (76.1 x 101.5 cm)","Mies van der Rohe Archive, gift of the architect",721.1963,Mies van der Rohe Archive,Architecture & Design,1963-12-10,Y,http://www.moma.org/collection/works/754,http://www.moma.org/media/W1siZiIsIjI3OTA1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=61ce72da368b9e34,,,,76.1,,,101.5,,
786,"[(224, 204, 154), (195, 177, 135), (204, 180, 139), (204, 188, 143), (225, 198, 132), (223, 193, 123)]","{'tan', 'burlywood'}",{'brown'},"Promontory Apartment Building, Chicago, Illinois, Perspective (from southeast)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1946,Pencil on tracing paper,"30 1/4 x 20 1/4"" (76.8 x 51.4 cm)","Mies van der Rohe Archive, gift of the architect",1004.1965,Mies van der Rohe Archive,Architecture & Design,1966-01-11,Y,http://www.moma.org/collection/works/786,http://www.moma.org/media/W1siZiIsIjI1MjAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d2cdc0ae957670b5,,,,76.8352,,,51.4351,,
